Interprete;Codigo;Nome;Trecho;Idioma
14 Bis;3755;LINDA JUVENTUDE;Zabelê, zumbi, besouro vespa fabricando;BRA
14 Bis;6074;PLANETA SONHO;Aqui ninguém mais ficará de...;BRA
365;6549;SÃO PAULO;Tem dias que eu digo não invento no meu;BRA
5 a Seco - Maria Gadú;15225;EM PAZ;Caiu do céu se revelou anjo da noite e das manhãs;BRA
Abba;4574;DANCING QUEEN;Yeh! you can dance you can jive;EUA
Abba;4787;THE WINNER TAKES IT ALL;I don't wanna talk;EUA
A Cor do Som;6402;ABRI A PORTA;Abri a porta apareci a mais bonita sorriu pra;BRA
A Cor do Som;15200;VIVA;Viva a alegria e viva o prazer;BRA
Adalberto e Adriano;3726;SEPARAÇÃO;Qual terá sido o motivo da nossa separação;BRA
Adriana Calcanhoto;6573;JUSTO AGORA;Eu ouvi dizer que você assim;BRA
Adryana e a Rapaziada;4458;SÓ FALTAVA VOCÊ;"Só faltava você pra completar
";BRA
Adryana e a Rapaziada;6035;TUDO PASSA;Tudo na vida passa Tudo na ...;BRA
Adryana Ribeiro;3789;E AGORA?;E agora como é que eu vou ficar;BRA
Adryana Ribeiro-Luiz Carlos;3390;SEMPRE SOU EU;É... mais uma vez estou chorando;BRA
Aerosmith;4678;AMAZING;I get the right ones out the wrong ones in had;EUA
Agepê;6454;DEIXA EU TE AMAR;Quero ir na fonte do teu ser e banhar;BRA
Agepê;3883;MOÇA CRIANÇA;O seu andar tem jeito de moça...;BRA
Agepê;3848;MORO ONDE NÃO MORA NINGUÉM;Moro, onde não mora ninguém;BRA
Aggeu Marques;15178;MÁQUINA DO TEMPO;Finjo não saber que o tempo passa logo;BRA
Agnaldo Rayol;3739;AMIGOS PARA SEMPRE;Eu não tenho nada pra dizer;BRA
Agnaldo Rayol;3737;A PRAIA;Em plena praia no céu azul ...;BRA
Agnaldo Timóteo;4399;MEU GRITO;Se eu demoro mais aqui eu vou morrer;BRA
Agnaldo Timóteo;6503;OS VERDES CAMPOS DA MINHA TERRA;Se algum dia à minha terra eu voltar;BRA
Agnaldo Timóteo;4370;QUEM É;Quem é que não sofre por alguém;BRA
Agridoce (Pitty);15202;130 ANOS;Caro é transformar-se num arremendo de si próprio;BRA
Akundum;3563;EMACONHADA;Kaya erva danada... É reggae sim se é reggae;BRA
Albert Hammond;4626;FOR THE PEACE OF ALL MANKIND;You turn me on so bad that there was on;EUA
Alceu Valença;3903;ANUNCIAÇÃO;Na bruma leve das paixões;BRA
Alceu Valença;6452;COMO DOIS ANIMAIS;Uma moça bonita de olhar agateado;BRA
Alceu Valença;15223;DONA DE 7 COLINAS;Ela é dona de sete colinas debruçadas ;BRA
Alceu Valença;3880;LA BELLE DE JOUR;Ah! eh! ah! Eh... La belle de jour... Eu lembro;BRA
Alceu Valença;3277;TROPICANA (MORENA TROPICANA);Da manga rosa quero o gosto e o sumo;BRA
Alcione;6521;A LOBA;Sou doce dengosa polida fiel como um cão;BRA
Alcione;3060;DELÍRIO DO AMOR (CHAMEGO);Você acaba dando um jeito;BRA
Alcione;3169;NÃO DEIXE O SAMBA MORRER;Não deixe o samba morrer;BRA
Alcione;6626;O MUNDO É DE NÓS DOIS;Esse nosso amor é a perfeição;BRA
Alcione;3263;SUFOCO;Não sei se vou aturar esses abusos não sei se;BRA
Alcione;3270;TÔ COM SAUDADE;Tô com saudade amor;BRA
Alexandre Pires;6443;A MUSA DAS MINHAS CANÇÕES;No palco de um pequeno bar eu nunca imaginei;BRA
Alexandre Pires;1073;DESSA VEZ EU ME RENDO;Dizem que amor não mata mas judia da;BRA
Alexandre Pires;15834;QUEM É VOCÊ;Eu descobri quem você é posso estar equivocado mas;BRA
Alexandre Pires;6988;TIRA ELA DE MIM;Tira a lembrança que ela deixou;BRA
Alexandre Pires;6640;VEM ME AMAR (AMAME);Vem aqui doce amor me ajuda a mudar esse;BRA
All-4-One;4669;I SWEAR;I swear by the moon and;EUA
Al Martino;4592;LOVE IS BLUE;Blue blue my world is blue;EUA
Almir Rogério;3877;FUSCÃO PRETO;Me disseram que ela foi vista com outro;BRA
Almir Sater;4379;UM VIOLEIRO TOCA;Quando uma estrela cai no escurão da;BRA
Al Stewart;4806;YEAR OF THE CAT;On a morning from a Bogart movie;EUA
Altemar Dutra;4465;BALADA TRISTE;Balada triste Que me faz lembrar alguém;BRA
Altemar Dutra;6608;CONTIGO APRENDI;Contigo aprendi que existem coisas novas;BRA
Altemar Dutra;3872;ESTÃO VOLTANDO AS FLORES;Vê... Estão voltando as...;BRA
Altemar Dutra;6496;MARIA HELENA;Maria Helena és tu a minha ...;BRA
Altemar Dutra;6422;MEU VELHO (MI VIEJO);É um bom tipo meu velho e anda só e;BRA
Altemar Dutra;3926;O TROVADOR;Sonhei que eu era um dia um trovador;BRA
Altemar Dutra;3540;SENTIMENTAL DEMAIS;Sentimental eu sou ...;BRA
Amado Batista;6625;O FRUTO DO NOSSO AMOR (AMOR PERFEITO);Amor perfeito existia entre nós dois;BRA
Amado Batista;4327;O POBRETÃO;Que pena que eu não posso ser;BRA
Amado Batista;3856;PRINCESA;Ao te ver pela primeira vez;BRA
Amado Batista;15268;QUEM É VOCÊ;Quem é você que me escreve ;BRA
Amelinha;3876;FOI DEUS QUEM FEZ VOCÊ;Foi Deus que fez o céu o rancho das estrelas;BRA
Amelinha;3796;FREVO MULHER;Quantos aqui ouvem, os olhos eram de;BRA
Ana Cañas;15272;SERÁ QUE VOCÊ ME AMA?;Tudo do avesso tudo certo tudo no começo;BRA
Ana Carolina;15288;COMBUSTÍVEL;Fiz de você meu combustível meu ;BRA
Ana Carolina;6413;ELA É BAMBA;Ela é bamba ela é bamba... ;BRA
Ana Carolina;4316;GARGANTA;Minha garganta estranha quando não te;BRA
Anderson Freire;16073;RARIDADE;"Não consigo ir além do teu olhar
";BRA
Andy Williams;4581;HAWAIIAN WEDDING SONG;This is the moment I've waited for;EUA
Andy Williams;4538;LOVE STORY;Where do I begin? to tell the;EUA
Andy Williams;4539;MOON RIVER;Moon River wider than a mile;EUA
Andy Williams;4595;MORE;More than the greatest love;EUA
Ângela Rô Rô;6635;SÓ NOS RESTA VIVER;Dói em mim saber que a solidão existe;BRA
Angélica;3429;MAGIA;Sol de verão queimando no meu corpo;BRA
Angélica;4361;MEU HERÓI;Ele é meu herói príncipe encantado;BRA
Ângelo Máximo;6561;A PRIMEIRA NAMORADA;A chuva já molhou a rua a noite está chegando;BRA
Ângelo Máximo;6456;DOMINGO FELIZ (BEAUTIFUL SUNDAY);Meu domingo alegre vai ser pois pretendo sair;BRA
Animals (The);4623;DON'T LET ME BE MISUNDERSTOOD;Baby, do you understand me now;EUA
Animals (The);4552;THE HOUSE OF THE RISING SUN;There is a house in New Orleans;EUA
Anitta;15302;MENINA MÁ;Me olha e deseja que eu veja mas já digo;BRA
Anitta;15307;NÃO PARA;Hoje cê pode chegar que eu tô querendo;BRA
Anitta;15192;SHOW DAS PODEROSAS;Prepara que agora é hora do show das ;BRA
